,CASH_C_EQUIV,NOTES_RECEIV,AR,PREPAYMENT,OTH_RECEIV,INVENTORIES,OTH_CA,T_CA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,INVEST_REAL_ESTATE,FIXED_ASSETS,CIP,INTAN_ASSETS,LT_AMOR_EXP,DEFER_TAX_ASSETS,OTH_NCA,T_NCA,T_ASSETS,ST_BORR,AP,ADVANCE_RECEIPTS,PAYROLL_PAYABLE,TAXES_PAYABLE,INT_PAYABLE,OTH_PAYABLE,NCL_WITHIN_1Y,T_CL,LT_BORR,LT_PAYABLE,DEFER_REVENUE,DEFER_TAX_LIAB,T_NCL,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,OTH_COMPRE_INCOME,C_PAID_OTH_FINAN_A,N_CF_FR_INVEST_A,C_FR_BORR,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_G_S,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_FR_SALE_G_S,REFUND_OF_TAX,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_DIV_PROF_INT,C_FR_OTH_INVEST_A,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,DIV_PROF_SUBS_MINO_S,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,ADMIN_EXP,DILUTED_EPS,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,BASIC_EPS,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,OTH_COMPR_INCOME,T_COMPR_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,FINAN_EXP,SELL_EXP,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,GOING_CONCERN_NI,COMPR_INC_ATTR_M_S,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,T_COGS,FLAG,AP_TC,OR_TC,IN_TC,NI_NI
0,717429859.0,48117321.5,549174261.0,128189038.9,112013084.6,322218453.2,60000000.0,1939897734.0,41965503.29,81808057.04,231723627.3,980210411.4,250371677.1,373975078.8,19149273.19,13890319.04,6580000.0,2249063450.0,4188961184.0,373009926.3,508837707.1,134015465.6,100668064.0,25191552.76,1588415.92,40153870.97,33200000.0,1471893251.0,122440000.0,2651549632.0656285,172226847.297541,72943417.17,227747647.5,1699640898.0,531000000.0,260871095.0,203795284.9,1286730284.0,2289871286.0,199448999.3,2489320285.0,4188961184.0,-113128594.86461018,528846302.9779888,-442992574.8,1082830470.0,184275730.7,39100000.0,305772553.7,210554176.2,4497707985.0,104071475.3,1155219897.1068132,5170481106.0,5696889.54,5372504602.0,27009457.71,-77637379.04,4050724.08,138141138.6,62195459.09,1338515176.6297114,5188228872.0,196326607.1,653546751.0,882706270.3,183544718.4,177028741.0,632226329.1,554588950.0,45604321.59,347774197.3,1121930470.0,448308273.1,944901729.4,141251277.2,0.62,-1416670.21,4779421500.0,4779421500.0,477760618.2,0.62,237463468.4,6481069.94,329305035.5,42120697.60734219,361767829.7,329305035.5,26490547.12,-10633660.9,12816829.22,4404301933.0,361767829.7,14231130.13,5117440.4,1191979674.9483337,32462794.22,115992788.5,245414590.2,32462794.22,4568448579.0,0.0,0.2623013049511609,0.057741747225526684,0.16610074209200554,0.6783759363111772
1,9016562109.0,287267980.1,2189133437.0,81522139.8,175382965.9,1545369887.0,45296132.14,17583144588.0,584090143.5496786,348369970.0,2148208.7,29921192676.0,2362373946.0,96397484.23,6726999.67,496533645.5,265692129.81343752,33233742930.0,50816887518.0,4145892000.0,3890378908.0,78411995.79,84257930.06,83727839.63,152802714.2,372108045.8,3909076029.0,13678541787.0,10917131008.0,186596394.0,172226847.297541,27314.01,12920291847.0,26598833633.0,11683125000.0,17173209601.0,1362073032.0,-5030456721.0,23771459717.0,446594167.8,24218053885.0,50816887518.0,-113128594.86461018,142604669.5,-1984368190.0,19589402251.0,-1018021882.0,45428014.44,305080786.0,960803020.7,32908795806.0,688071642.0,28388822.42,34214057454.0,181046223.4,35076690588.0,74662527.7,771833518.2,-163000278.0,440734657.6,607342997.4,1338515176.6297114,36094712470.0,681586910.7,2945171210.0,14947658731.0,161409318.4,3937223868.0,8830970236.0,9602803754.0,20285939.96,2640090425.0,19634830266.0,2057110365.0,15697606398.0,912236403.7,-0.2265,98644071.59,34341019224.0,34341019224.0,-2508860330.0,-0.2265,-2942158909.0,5504359.31,-2793352561.0,-147321244.3,-2767958404.0,-2646149159.0,350747337.9,444434056.1,255919.79749999996,36224378170.0,-2620637160.0,47372482.81,54451715.95,1191979674.9483337,25394156.45,111776830.0,487750295.5,25511998.84,37633925471.0,0.0,0.22125615179522973,0.009974493755780973,0.08788927823835739,-0.18611897249446008
2,4896277598.0,174379231.89618114,1554913570.0,73773941.0,129262113.0,391947450.0,43370.94930000001,7087511047.0,53825879.0,142054205.0,391635422.6793563,24297688573.0,543350403.0,662557709.0,33528357.0,91226827.0,9402635.0,26144476909.0,33231987956.0,1905566977.2046053,1796882621.0,120914297.0,229060006.0,329909584.0,6889726.0,470695519.0,3492723446.0,6447220883.0,4997408116.485268,2651549632.0656285,90403907.0,286802307.48810524,90403907.0,6537624790.0,7083537000.0,11562776387.0,2530746611.0,5473481874.0,26650541872.0,43821294.0,26694363166.0,33231987956.0,-113128594.86461018,158383.0,-1572959062.0,12259571.712900002,2051059191.0,684208319.446797,1183468736.9386246,208118522.0,4366915812.0,163834630.0,1155219897.1068132,11860588472.0,83025314.6461134,11921998489.0,4903500.0,-262335389.0,3023897.838417908,793309430.0,734329670.0,127964625.0,9870939298.0,61410017.0,1781077584.0,4973668.165199998,75250397.0,-740435518.0,675012987.0,412677598.0,98335424.76544777,1376598594.0,0.0,4546879426.0,740435518.0,1117031144.0,0.18,5227966.0,15800677436.0,15800677436.0,1701751539.0,0.18,1839271898.0,-5836502.0,1273839358.0,42120697.60734219,1271081715.0,1273839358.0,10131466.0,50003140.0,20179321.0,12395237779.0,1271081715.0,394922122.0,147358273.0,1191979674.9483337,-2757643.0,430669824.0,9837914.0,-2757643.0,13971537004.0,0.0,0.25352801697015825,0.018238012208067603,0.05530114131757204,0.00773979665028853
3,858812219.0,174379231.89618114,64822500.17,18590071.4,39801178.49,109474082.2,22591516.37,1114720766.0,169778174.8,684145170.7,32007039.62,962668996.2,29199800.73,301583899.5,7995095.73,15548762.98,5625000.0,2208551940.0,3323272706.0,28541579.71,94749374.68,90023179.34,99575839.41,44370016.37,80557.2,232371542.4,68758838.7,695755609.1,4997408116.485268,66894620.0,30854072.43,12531119.3,128101146.2,823856755.4,551610107.0,394833592.5,268081682.3,964859956.2,2217670972.0,281744978.4,2499415951.0,3323272706.0,38285634.29,528846302.9779888,50700433.86,17321788.71,258445901.6,17150000.0,1183468736.9386246,296498227.1,1233633581.0,97344381.07,92832846.01,2332022736.0,83025314.6461134,2357272003.0,115051658.7,153830177.7,3023897.838417908,126442763.2,156120046.4,1338515176.6297114,2098826101.0,25249266.99,245797793.3,33667900.0,88613722.47,-155316157.7,704982041.3,858812219.0,27374042.59,245797793.3,34471788.71,641405376.1,189787946.4,135489844.6,0.22654299999999988,115380797.6,2088591803.0,2088591803.0,332219251.5,0.426,293171793.8,-164700.8,226377988.9,-8568046.33,268126665.2,234918830.8,203914852.3,-7035254.27,190039685.7,1669492098.0,276694711.6,11591789.68,104248.01,1191979674.9483337,41748676.35,55524539.9,39151705.63,41775880.75,1999413463.0,0.0,0.08499830412237966,0.035705065971651594,0.09820762790024135,0.14149784577957217
4,2423000000.0,174379231.89618114,3551000000.0,852000000.0,2108000000.0,2305000000.0,982000000.0,12683000000.0,411000000.0,1494000000.0,391635422.6793563,90677000000.0,18352000000.0,2375000000.0,1338000000.0,389000000.0,1031000000.0,125000000000.0,138000000000.0,7935000000.0,12545000000.0,441000000.0,2819000000.0,1755000000.0,484000000.0,2237000000.0,16366000000.0,53122000000.0,20330000000.0,23728000000.0,172226847.297541,30000000.0,58404000000.0,112000000000.0,12674000000.0,17438000000.0,5126612.555999997,-2952000000.0,24646000000.0,1674000000.0,26320000000.0,138000000000.0,-2514000000.0,2536000000.0,-17020000000.0,24612000000.0,10775000000.0,3978000000.0,296000000.0,2359000000.0,66094000000.0,5282000000.0,20000000.0,92358000000.0,83025314.6461134,99702000000.0,96000000.0,-556000000.0,-25000000.0,2526000000.0,1688000000.0,1687000000.0,88927000000.0,7344000000.0,19379000000.0,29651000000.0,556000000.0,5714000000.0,2595000000.0,2039000000.0,68000000.0,19083000000.0,39589000000.0,15025000000.0,33875000000.0,2838000000.0,0.2,65000000.0,88109000000.0,88109000000.0,2205000000.0,0.2,-1056000000.0,184000000.0,3166000000.0,867000000.0,2946000000.0,2358000000.0,68000000.0,-440000000.0,5909000000.0,80455000000.0,2079000000.0,305000000.0,58000000.0,1191979674.9483337,-220000000.0,126000000.0,3319000000.0,-279000000.0,89251000000.0,0.0,0.9891192935425372,0.1662067334226918,0.1817393361192147,1.5964405964405965
5,88885453.91,29750679.93,183700816.4,6583127.97,12950707.49,79120488.05,9000000.0,409991273.7,584090143.5496786,2512276212.4677515,391635422.6793563,52272302.59,18871.6,17145464.83,64578.78,5865146.86,18353202.0,102154766.7,512146040.4,16000000.0,57834120.71,61269640.3,9439357.61,6198589.82,26309.29129999999,8515622.6,1783420595.2342982,164257331.0,4997408116.485268,2651549632.0656285,2919903.15,286802307.48810524,9629903.15,173887234.2,75000000.0,126551037.5,24616019.38,110091749.3,336258806.2,2000000.0,338258806.2,512146040.4,-113128594.86461018,528846302.9779888,-33587303.88,16000000.0,35520368.35,2000000.0,9000000.0,123450.23,313124679.4,50706338.04,1155219897.1068132,445083774.5,7837512.74,467605480.5,8506.85,-2587171.53,-228296.46,22747329.07,891939.54,1338515176.6297114,432085112.2,14684193.26,33710754.11,21400000.0,114943.38,-4291939.54,85201401.69,82614230.16,98335424.76544777,24710754.11,18000000.0,45506765.63,22291939.54,37605243.68,0.675,229599332.40999988,423946772.8,423946772.8,57860014.3,0.675,54039978.91,8234367.14,50604445.88,42120697.60734219,50604445.88,50604445.88,8506.85,1017256.82,37599461.0,282911907.1,50604445.88,2547065.05,232299.23,1191979674.9483337,11351.0789,7255568.42,4052334.62,5197.302199999998,369915300.7,0.0,0.14106183331189276,0.03158776374220181,0.19298090746168972,0.08007862845903768
6,341280214.9,174379231.89618114,613107353.8,7037221.56,29301849.13,7855203.69,40028.958699999996,998581843.1,584090143.5496786,494278305.4,391635422.6793563,17431652444.0,32073809.95,916806.3549999999,59835.17,18252211.33,170691011.5,18150278943.0,19148860786.0,100000000.0,1652925250.0,5484689.0,59290541.46,131644137.9,88103426.92,37625435.52,440220000.0,2520893054.0,5669376779.0,707252.47,172226847.297541,285831568.5,7451743287.0,9972636341.0,2744400000.0,1660577897.0,698623048.0,2343334938.0,7446935883.0,1729288562.0,9176224445.0,19148860786.0,-113128594.86461018,168700000.0,-498472015.9,394768149.5,1826377548.0,684208319.446797,1183468736.9386246,83086.43760000002,190287267.0,54008138.28,1155219897.1068132,2462508906.0,83025314.6461134,2489189512.0,70182.90589999997,-284254067.7,3023897.838417908,263949423.4,897955331.3,1338515176.6297114,662811964.3,26680606.19,498472015.9,940808649.5,2256.6834,-1612159599.0,625534282.5,341280214.9,147760000.0,498452865.9,395304381.5,154567135.7,2007463981.0,76636813.13,0.1982,-96329735.0,2625118115.0,2625118115.0,1008029207.0,0.1982,1013922077.0,685821.35,543821436.3,42120697.60734219,720855183.0,543821436.3,-95757715.87,472523709.5,123591.6105,867780263.3,720855183.0,91467523.36,7941200.18,1191979674.9483337,177033746.7,287174024.4,2048330.4,177033746.7,1509094131.0,0.0,1.6552726863815734,0.029343462764188925,0.007866359421892037,0.0028415282962597497
7,1084007244.0,48231805.61,791919326.3,242483054.2,93455385.09,1012179246.0,73159576.06,3345512589.0,71792770.99,285275689.9,71494049.44,2189835727.0,284811999.9,349246872.3,161540338.3,20418829.76,265692129.81343752,3446937720.0,6792450309.0,210356584.0,870388018.7,126116629.1,76515719.71,69204157.52,5151800.15,456700851.8,1783420595.2342982,1945548535.0,126767143.0,176065241.4,6370579.18,1093852.24,1293656685.0,3239205221.0,862373924.0,1106996329.0,237943501.0,963129060.5,3171351235.0,381893852.7,3553245088.0,6792450309.0,908420.96,2816883.48,-458185025.3,322784767.6,515824130.2,684208319.446797,111187000.0,219253792.9,7115663299.0,338947617.9,111187000.0,9093070051.0,2567878.61,9267904635.0,34502838.07,-235255150.2,-135150.44,309763364.1,193647257.6,4793932.94,8752080504.0,172266704.9,677438818.2,419079731.2,35742430.24,-292759104.7,1274766897.0,1039511747.0,37203644.98,502770271.4,322784767.6,987706223.1,615543872.3,558261920.9,0.35,24194522.45,8381284626.0,8381284626.0,431746401.3,0.35,330845642.0,11736808.9,300384827.7,-43758.4,338980839.2,300377925.2,36735678.7,44463036.37,51489314.6,7392752806.0,339024597.6,28470775.39,7253286.95,1191979674.9483337,38596011.48,92721803.72,108154046.2,38646672.42,8087174663.0,0.0,0.26016581780676123,0.02793454892302006,0.30254832976209134,0.31901533683879224
8,609786934.8,20457034.34,1150540316.0,633784234.2,83974895.8,59373888.17,19509411.22,2577426715.0,584090143.5496786,2512276212.4677515,391635422.6793563,107757422.2,93394929.98,118987474.6,9353464.34,8863773.2,265692129.81343752,338357064.3,2915783779.0,616924327.0,606986315.1,153367615.7,39299913.3,27414775.42,1076391.31,36842593.61,1783420595.2342982,1622468993.0,4997408116.485268,2651549632.0656285,172226847.297541,2745202.59,2745202.59,1625214196.0,400000000.0,638222658.4,19024150.36,271561751.3,1290566751.0,2832.32,1290569583.0,2915783779.0,-38241809.38,528846302.9779888,-43446284.11,1112820989.0,-224625751.0,684208319.446797,1183468736.9386246,5527185.77,8273705737.0,200450991.6,1155219897.1068132,8440331101.0,1445106.47,8566404015.0,58396.07299999996,-72643867.23,-4679696.69,80076811.82,29538257.17,5000000.0,8791029766.0,124627807.8,48973469.88,883174867.5,527185.77,200107864.5,630382170.7,557738303.5,98335424.76544777,48973469.88,1112820989.0,236796225.8,912713124.7,113440961.6,0.2,229599332.40999988,8533354433.0,8533354433.0,111791654.6,0.2,105599252.7,1170776.98,77770299.63,-3545163.77,77770141.61,81315373.68,72127.88279999998,17455239.87,222548632.7,8065936603.0,81315305.38,7202966.21,1016448.27,1191979674.9483337,-158.02,30476349.24,7208850.18,-68.3,8427755180.0,0.0,0.2355009015649161,0.03258090533138592,0.02303611110432678,0.08865305425973424
9,3906952976.0,782363255.3,1822426799.0,665597208.7,98019719.05,410757348.8,20176.8227,7687167859.0,261469120.7,2536568066.0,391635422.6793563,11398120206.0,4181955694.0,3689672993.0,4620529.57,127903830.0,265692129.81343752,22200310439.0,29887478298.0,1550392904.0,2301667168.0,725305455.5,70262987.61,61771840.28,70588693.68,112794134.7,238600000.0,6644964407.0,4148344211.0,2651549632.0656285,172226847.297541,52949877.82,6202120037.0,12847084444.0,1674769120.0,3481061547.0,1099906630.0,6319942204.0,12686449712.0,4353944143.0,17040393854.0,29887478298.0,110770211.4,6240198.8,-2422776069.0,2562992904.0,1112878663.0,333353319.5,7000000.0,211792626.6,10519142594.0,550788312.7,52462040.0,14443515224.0,58833607.75,14697038070.0,140800743.1,163231857.3,-2931825.32,626686177.1,894747693.6,1338515176.6297114,13584159407.0,194689237.9,2634568695.0,2519297243.0,18529843.45,1476061089.0,3283721119.0,3446952976.0,411432317.7,2627568695.0,4896346223.0,1887542323.0,3420285135.0,1312927416.0,0.64,267084449.0,16627357491.0,16627357491.0,1825617934.0,0.64,1752385554.0,542219.39,1059183461.0,-13815193.47,1496113276.0,1067472577.0,291414823.5,186206012.2,243361.94109999997,13619160520.0,1509928469.0,47550592.2,33950561.28,1191979674.9483337,436929815.2,315689465.1,107182941.8,442455892.6,15166386760.0,0.0,0.29941679565449436,0.012751083474161455,0.05343415889105278,0.07098544335082671
