,CASH_C_EQUIV,NOTES_RECEIV,AR,PREPAYMENT,OTH_RECEIV,INVENTORIES,OTH_CA,T_CA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,FIXED_ASSETS,CIP,INTAN_ASSETS,GOODWILL,LT_AMOR_EXP,DEFER_TAX_ASSETS,T_NCA,T_ASSETS,ST_BORR,AP,ADVANCE_RECEIPTS,PAYROLL_PAYABLE,TAXES_PAYABLE,OTH_PAYABLE,T_CL,DEFER_REVENUE,T_NCL,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,C_PAID_OTH_FINAN_A,N_CF_FR_INVEST_A,C_FR_BORR,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_G_S,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_FR_SALE_G_S,REFUND_OF_TAX,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_DIV_PROF_INT,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,ADMIN_EXP,DILUTED_EPS,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,BASIC_EPS,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,T_COMPR_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,FINAN_EXP,SELL_EXP,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,GOING_CONCERN_NI,COMPR_INC_ATTR_M_S,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,T_COGS,FLAG,AP_TC,OR_TC,IN_TC,NI_NI
0,39296828.17,42432756.733136415,311796093.3,1379073.18,2154800.58,48261579.4,642.1911999999998,402888374.6,201570759.84849903,298323718.3813644,48958926.45,4846246.73,22257664.77,620614403.6196066,3595.5503000000003,5826013.49,85406096.86,488294471.5,32000000.0,168359826.2,17053301.47,3278602.27,17445784.8,2348251.54,240539099.6,38926257.39793594,4140592.31,244679691.9,66000000.0,56302776.06,17858080.02,95060467.85,243614779.6,833283086.7084156,243614779.6,488294471.5,93481045.352178,-3895409.39,32000000.0,-18443416.41,416373936.774165,607704554.221848,364799.61,254066788.3,17277892.5,16447.49,314596069.7,22810917.143630523,319967576.7,20448234.7079621,-22429659.12,-37213.70662471447,24463892.13,17090833.32,338410993.1,5371506.94,4260209.0,15000000.0,255498.77,-90833.32,61726487.29,39296828.17,4260209.0,32000000.0,42602420.17,32090833.32,24331999.65,0.15356399999999995,8153076.398503065,354841713.1,354841713.1,50056647.44,0.56,49408839.48,2974940.18,36827316.85,36827316.85,36827316.85,-18965.79,601947.23,2514797.0,267074359.5,36827316.85,7915864.26,382566.13,198691321.60569102,29159398.476572428,13229330.59,1030374.09,31194003.21673058,305413907.8,0.0,0.41788206563952807,0.0053483811294861815,0.1197889600262494,0.027978527303435627
1,1901583200.0,25630000.0,179636500.0,250780000.0,50272400.0,245231400.0,56526100.0,2709659600.0,12000000.0,269974100.0,8143994800.0,653062100.0,236620200.0,89634900.0,1884178200.0,9379.110799999999,11364838100.0,14074497700.0,17719500.0,1148136700.0,1584306400.0,287734800.0,9945900.0,390063900.0,4994722700.0,134570800.0,169095400.0,5163818200.0,2391099800.0,4831795100.0,338210500.0,763902400.0,8325007800.0,585671700.0,8910679500.0,14074497700.0,6000000.0,-1692479900.0,64844100.0,2144696600.0,72632100.0,222500000.0,336042200.0,1022065400.0,489373700.0,254370100.0,4452522300.0,22810917.143630523,4693463800.0,17652800.0,91828800.0,-37213.70662471447,141922100.0,470877100.0,2548767200.0,240941500.0,2028522100.0,1520987000.0,64019300.0,-360387900.0,1809754300.0,1901583200.0,1806022100.0,1637476200.0,895406100.0,1997864100.0,420807000.0,0.29,24183000.0,3935607100.0,3935607100.0,729244200.0,0.29,638567300.0,4861800.0,690858300.0,729244200.0,690858300.0,26558500.0,69549100.0,207727200.0,2527546000.0,729244200.0,93107300.0,30988600.0,198691321.60569102,38385900.0,0.0,121665500.0,38385900.0,3323598400.0,0.0,0.4237199019389742,0.01855303153207879,0.09050265944844142,0.1668378027552362
2,160988931.5,42432756.733136415,773375345.6,3587776.22,13401423.52,46775158.2,1118324.23,999246959.3,201570759.84849903,5195879.94,31795220.38,46293808.09,19891984.86,153083830.3,2661.179500000001,10230934.89,273364394.5,1272611354.0,164500000.0,250190006.3,9467334.68,22704720.4,50364437.46,15994286.98,538701812.4,540000.0,42168540.0,580870352.4,214265281.0,255118700.8,9089146.55,175995683.1,657334348.2,34406653.11,691741001.3,1272611354.0,14638364.7,-68597216.82,250000000.0,9969851.49,94748677.29,19524000.0,33692390.79,325073245.8,74494819.15,1400000.0,559532698.0,1505332.69,570620304.2,20448234.7079621,3476234.56,-33169.38,27048894.71,24093543.32,560650452.7,9582273.52,102289607.6,250050000.0,718952.0,62136769.27,144757254.4,148233489.0,57005607.61,350918677.3,134033493.1,288781908.0,87668473.22,0.36,-739659.87,716417047.6,716417047.6,80024483.58,0.36,72793577.64,17288607.53,62848702.02,65375140.61,62848702.02,-917717.59,13084339.81,40702790.7,474479650.1,65375140.61,9481891.02,994299.65,198691321.60569102,2526438.59,14649342.97,8225205.59,2526438.59,642705752.4,0.0,0.2503785515397165,0.01341152294262478,0.04681040834266565,0.12581549367622843
3,2213448225.0,14174346.0,1890363626.0,227915556.0,196717958.0,996583099.0,236069531.0,5807522254.0,64764662.0,139058899.0,1768896223.0,276749271.0,631665525.0,156110131.0,103494600.0,84771633.0,3568928539.0,9376450793.0,209139575.0,805545291.0,593558197.0,354922512.0,67598043.0,183768414.0,2878850661.0,270190713.0,981536252.0,3860386913.0,1227594245.0,355195990.0,719551079.0,3096964347.0,5329762555.0,186301325.0,5516063880.0,9376450793.0,1351372.0,-184039969.0,738648281.0,303851532.0,4000000.0,3524235058.0,3851961362.0,3892658197.0,545381189.0,3680500000.0,7735400303.0,123223573.0,8183194413.0,74995334.0,66928106.0,4659448.0,484457633.0,245836415.0,7879342881.0,324570537.0,4036001331.0,553003399.0,38315863.0,-57542905.0,2088199345.0,2155127451.0,489300713.0,742648281.0,2956845862.0,800191186.0,1173997714.0,0.33,33813510.0,7452753233.0,7452753233.0,445130174.0,0.33,241367528.0,67992054.0,394652625.0,370730827.0,410938749.0,85929224.0,39185293.0,657573048.0,5308680595.0,384531414.0,67218955.0,3366765.0,198691321.60569102,-23921798.0,60598760.0,207129411.0,-26407335.0,7314647659.0,0.0,0.13870722414282116,0.0338729581043806,0.17160211453578014,0.5386540694956069
4,37138424.7,42432756.733136415,78381480.61,7000943.68,60850292.57,94062748.37,319240.59,277753130.5,6538470.16,41239.6,65310773.26,548248385.7814283,651180.64,620614403.6196066,4344.924900000002,2264026.16,74805689.82,352558820.3,83767178.83,31114900.33,3719567.28,867895.56,-36211.97,6692633.27,126125963.3,3100000.0,3100000.0,129225963.3,161070000.0,131100762.9,13438289.77,-82371381.96,223237670.7,95186.34,223332857.0,352558820.3,93481045.352178,752207.11,110455724.4,-42536980.37,416373936.774165,607704554.221848,2538910.91,266759007.8,47197890.33,641083156.3085488,299088599.7,22810917.143630523,311574428.0,2528025.45,-53268905.9,-37213.70662471447,10002784.25,8308747.58,354111408.4,12485828.36,1786703.8,113631109.5,10885.46,-11484132.64,86838713.28,33569807.38,1786703.8,110455724.4,30151725.99,121939857.1,35934053.34,-0.385,-447235.46,233520625.3,233520625.3,-63017003.66,-0.385,-65165397.5,19333589.88,-61968154.22,-61982962.55,-61968154.22,1496319.99,4743576.64,14715058.1,224235972.7,-61982962.55,1220092.19,56169.88,198691321.60569102,-14808.33,-1034041.11,2204563.72,-14808.33,300182342.8,0.0,0.11202358106275241,0.21908049230789858,0.33865594314156616,-0.035567253149954514
5,190117244.9,42432756.733136415,266505233.4,33236452.43,2373376.53,3670.0709,3851349.32,496083656.6,201570759.84849903,298323718.3813644,4279700.57,548248385.7814283,5732018.36,620614403.6196066,28301.9,4918519.54,14958540.37,511042197.0,20000000.0,112436670.8,13625635.77,2288972.28,29818937.33,2439927.84,183939607.3,38926257.39793594,161.9426,183939607.3,48000000.0,68852959.9,22565769.45,187683860.3,327102589.6,833283086.7084156,327102589.6,511042197.0,93481045.352178,-398837.0,20000000.0,47194565.48,416373936.774165,607704554.221848,250.87980000000005,544155232.9,21166485.12,641083156.3085488,650818965.9,22810917.143630523,664313861.1,20448234.7079621,39068794.73,-37213.70662471447,20078810.52,7726933.75,617119295.6,13494895.2,398837.0,20000000.0,98.885,-7726933.75,151048450.2,190117244.9,398837.0,20000000.0,31718767.07,27726933.75,16639131.06,1.61,8153076.398503065,692707601.6,692707601.6,88651287.28,1.61,83996179.04,4563856.38,77416583.22,77416583.22,77416583.22,64.7367,822464.58,13428574.97,567753551.7,77416583.22,5503843.85,209833.76,198691321.60569102,29159398.476572428,11234704.06,4864942.0,31194003.21673058,608711422.5,0.0,0.22664860916927854,0.004784226407026528,7.39808871179813e-06,0.06284108388218274
6,83597466.67,42432756.733136415,46407238.4,4896093.19,2865247.15,5466525.06,968.1408000000001,143232570.5,201570759.84849903,298323718.3813644,4313337.92,548248385.7814283,12173836.09,620614403.6196066,5775.1708,1032990.93,17520164.94,160752735.4,671190917.4127014,5055025.84,4926938.39,3391684.18,4597459.92,278850.59,18249958.92,4130000.0,4130000.0,22379958.92,75000000.0,57023314.38,760484.06,5058235.29,137842033.7,530742.76,138372776.5,160752735.4,93481045.352178,-1084940.54,1432757292.4383233,6439814.45,416373936.774165,607704554.221848,2611979.54,27924186.57,19732668.64,1000000.0,74716033.62,6942503.38,87515679.17,1581953.54,5354873.91,-37213.70662471447,16388458.63,15699.58550000001,81075864.72,5857142.17,3696920.08,1392120227.6258054,80.475,-13499.671900000001,78192592.76,83547466.67,3696920.08,29436.56960000001,17030550.88,57419.62069999999,23742723.92,0.35,8153076.398503065,85645657.39,85645657.39,29610921.62,0.35,21300611.8,1957758.74,26348277.04,26456572.03,26348277.04,1461979.54,-567989.87,9656193.55,29968383.42,26456572.03,1049955.37,151517.56,198691321.60569102,108294.99,3154349.59,8461827.38,108294.99,65807025.13,0.0,0.03529243259653711,0.020004159249519298,0.03816537705716871,0.3198383891308688
7,208182670.6,42432756.733136415,119343662.6,888277.33,4365077.63,37476489.74,673.8141999999996,370256177.9,201570759.84849903,298323718.3813644,18966238.79,548248385.7814283,373370.12,620614403.6196066,4691.4227,2265876.05,64941242.11,435197420.0,671190917.4127014,78985664.41,12172805.85,7029640.06,10361280.88,2508349.23,117287682.7,1231008.14,1231008.14,118518690.8,67600000.0,64331175.57,29557923.73,155186593.5,316675692.8,3036.44,316678729.2,435197420.0,93481045.352178,-40205589.68,1432757292.4383233,40317036.42,40000.0,571600000.0,573823851.1,238636266.0,57345215.28,571600000.0,415941030.3,3927760.75,443646606.3,2222551.11,-8033196.24,62557.02,14090518.76,8247200.0,403329569.9,23777815.26,614029440.8,1392120227.6258054,1300.0,-8207200.0,2711888.777300002,-8033196.24,42429440.79,40000.0,93257569.9,8247200.0,33336632.51,0.74,8153076.398503065,420273251.9,420273251.9,56373333.69,0.74,52060381.07,3164779.1,49710149.8,49687280.25,49710149.8,2222551.11,-677753.1,17383924.65,315936054.2,49687280.25,1291784.59,8097.31,198691321.60569102,-22869.55,6686053.44,4321049.93,-22869.55,370435421.9,0.0,0.21332706683784952,0.011789344487801995,0.1012177297150239,0.08696491150770926
8,2771867988.0,1171938237.0,5713329558.0,398750188.0,109694016.0,2063929380.0,1026.8185000000005,12231797627.0,201570759.84849903,298323718.3813644,460703616.2,37068108.27,204215164.7,477378.48,8368671.98,134738388.4,1041804892.0,13273602519.0,615500000.0,4206387884.0,1519000299.0,44246646.28,125034954.5,51962577.09,7113456465.0,5870000.0,31262948.68,7144719414.0,2428953351.0,1113404603.0,428909951.5,2100857731.0,6072125636.0,56757469.38,6128883106.0,13273602519.0,797736.0,-161440966.6,601000000.0,737540621.5,416373936.774165,607704554.221848,3252455.86,4071758014.0,707293150.8,641083156.3085488,7104800460.0,389098290.2,7552265993.0,20448234.7079621,275838784.7,-261530.99,969600084.8,354201603.1,6814725372.0,58367242.94,164693422.5,546000000.0,1087543.86,-299999339.1,2250391717.0,2526230502.0,164693422.5,601000000.0,1066074122.0,900999339.1,494415573.0,0.66,8153076.398503065,9575634914.0,9575634914.0,1795558592.0,0.66,1487531051.0,156272989.0,1600321182.0,1615195127.0,1600321182.0,-4314984.621800001,8099549.45,363979755.0,6981762210.0,1615195127.0,83573785.88,1749023.12,198691321.60569102,14873944.21,180363465.2,309776563.6,14873944.21,8088103862.0,0.0,0.34388959106999784,0.008967939083448017,0.16873475534325075,0.19178894142366987
9,58918434.19,42432756.733136415,80599459.05,3885023.05,2526995.92,2940418.44,437772.35,149308103.0,201570759.84849903,298323718.3813644,357230600.6,47116816.72,18018.2412,620614403.6196066,3943912.96,4502.959599999998,439864915.6,589173018.6,101000000.0,112737670.9,154339.62,2838787.65,2129881.9,12634187.06,310571022.0,28515000.0,194015000.0,504586022.0,25000000.0,430288.4885000003,3545860.28,52541498.88,81087359.16,3499637.48,84586996.64,589173018.6,93481045.352178,-100572973.5,187750000.0,3709661.38,3500000.0,607704554.221848,22103000.0,137046169.2,15870160.99,641083156.3085488,174419029.8,22810917.143630523,176052806.8,20448234.7079621,30938321.9,-37213.70662471447,7695972.99,17718366.03,172343145.5,1633776.99,122675973.5,45730000.0,13000.0,127801634.0,19833094.04,50771415.94,122675973.5,191250000.0,11730842.32,63448366.03,26864248.31,0.2,8153076.398503065,200102619.0,200102619.0,38973436.83,0.2,37815320.96,-25449.084200000027,33291413.97,33291051.45,33291413.97,-2097.1325000000006,12989669.75,740877.9029999999,122453219.6,33291051.45,-19839.58,17496.85,198691321.60569102,-362.52,5682385.38,1175612.72,-362.52,162287298.1,0.0,0.7550673314763098,0.016924707160735943,0.019693629353793343,0.03531317482614386
