,CASH_C_EQUIV,TRADING_FA,INT_RECEIV,PUR_RESALE_FA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,INVEST_REAL_ESTATE,FIXED_ASSETS,INTAN_ASSETS,DEFER_TAX_ASSETS,T_ASSETS,LOAN_FR_OTH_BANK_FI,TRADING_FL,SOLD_FOR_REPUR_FA,PAYROLL_PAYABLE,TAXES_PAYABLE,INT_PAYABLE,BOND_PAYABLE,DEFER_TAX_LIAB,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,ORDIN_RISK_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,OTH_COMPRE_INCOME,N_CF_FR_INVEST_A,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_IFC,C_PAID_DIV_PROF_INT,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_FR_ISSUE_BOND,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,IFC_CASH_INCR,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,DILUTED_EPS,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,BASIC_EPS,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,OTH_COMPR_INCOME,T_COMPR_INCOME,INT_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,F_VALUE_CHG_GAIN,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,COMPR_INC_ATTR_M_S,FOREX_GAIN,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,COMMIS_INCOME,T_COGS,FLAG,NI_NI
0,496000000000.0,11018000000.0,15545000000.0,287000000000.0,178000000000.0,2176000000.0,277000000.0,13734000000.0,1263000000.0,8434000000.0,3640000000000.0,41952000000.0,27801330059.20275,7949000000.0,10500000000.0,4355000000.0,28143000000.0,76869000000.0,572800141.6459999,3410000000000.0,46787000000.0,44734000000.0,15495000000.0,44340000000.0,76690000000.0,226000000000.0,5124000000.0,231000000000.0,3640000000000.0,-359785.3178,-10324000000.0,-136000000000.0,3737797950.8210464,484000000000.0,479000000000.0,25324000000.0,478000000000.0,835000000000.0,46000000.0,-137000000000.0,-2355000000.0,21555000000.0,70399000000.0,9335000000.0,972000000000.0,21178000000.0,489000000000.0,97074948466.19418,9337000000.0,130000000.0,11722000000.0,337000000000.0,200000000000.0,5292000000.0,30394000000.0,181000000000.0,17863000000.0,18672000000.0,0.84,109000000.0,105000000000.0,105000000000.0,52549000000.0,0.84,52285000000.0,11940000000.0,34263000000.0,-5060000000.0,34657000000.0,85688000000.0,39175000000.0,191000000.0,92000000.0,52273000000.0,39717000000.0,7488000000.0,102000000.0,394000000.0,1377000000.0,12832000000.0,366000000.0,542000000.0,16811000000.0,52273000000.0,0.0,0.009215197522471486
1,1450882602.0,923611.0244000001,27164670.29,56755868091.99488,515747.2,3737821385.1164804,1717608116.193224,502005258.6,152867841.6,5582164.3,3433939509.0,43214177260.242905,27801330059.20275,40321744677.36061,34431969.46,17046599.35,70523.11,78054142631.04854,12977433.98,599751712.7,1807000000.0,1203542418.0,35061708.21,19407685555.629314,-257220670.8,2781588808.0,52598987.77,2834187796.0,3433939509.0,-29558.968899999993,-526776739.6,-77100007.11,21600000.0,1597700000.0,1525758842.0,731209158.4,1292700000.0,1197750678.0,233021583.3,-497925955.5,-2844205.65,53004859.85,5782121.529900001,9830433.54,1274850685.0,270667985.9,2052535582.0,97074948466.19418,367169.62,37258.73,108794996.8,1948808557.0,1450882602.0,238686675.0,118992600.0,67082025591.21044,329237530.8,10197603.16,0.006,311858255.6184676,894262281.5,894262281.5,42921174.52,0.006,4026539.58,-917816.49,8568801.88,-3092603.69,21101069.1,34657188409.83385,11661405.57,233021583.3,7650.2103000000025,175689396.2,24193672.79,27991033.43,208051.39,12532267.22,370521096.05937654,18727501.73,39102686.33,12532267.22,11684825462.966698,1123257325.0,0.0,1.616236057642408
2,230000000000.0,10421000000.0,10043000000.0,272000000000.0,578000000.0,485000000.0,116000000.0,3694000000.0,5463000000.0,4406000000.0,1890000000000.0,22633000000.0,3692000000.0,36049000000.0,6013000000.0,4205000000.0,16605000000.0,8102000000.0,572800141.6459999,1780000000000.0,9521000000.0,54171000000.0,4354000000.0,16509000000.0,29963000000.0,112000000000.0,990675.0410999998,112000000000.0,1890000000000.0,-2437000000.0,-87011000000.0,91674000000.0,14734000000.0,546000000000.0,461000000000.0,26088000000.0,444000000000.0,415000000000.0,17345000000.0,9037000000.0,-536000000.0,8652000000.0,46687000000.0,1824000000.0,324000000000.0,2066000000.0,548000000000.0,97074948466.19418,8000000000.0,28000000.0,4910000000.0,172000000000.0,181000000000.0,1750000000.0,14734000000.0,83017000000.0,9660000000.0,9824000000.0,1.55,102000000.0,52189000000.0,52189000000.0,20040000000.0,1.55,19955000000.0,6890000000.0,13420000000.0,-1811000000.0,13420000000.0,40688000000.0,15231000000.0,1140000000.0,-82000000.0,32234000000.0,15231000000.0,4065000000.0,26000000.0,25075.13580000001,-163000000.0,4809000000.0,111000000.0,-4824.331899999999,10456000000.0,32234000000.0,0.0,0.0072877683671459526
3,122000000000.0,7281279000.0,5384003000.0,33136500000.0,54938750000.0,3737821385.1164804,1717608116.193224,4571605000.0,472911000.0,2182912000.0,978000000000.0,22570586000.0,27801330059.20275,46954810000.0,1432852000.0,1462140000.0,10628575000.0,12220251000.0,572800141.6459999,921000000000.0,4234000000.0,9963698000.0,12219381000.0,10485917000.0,19683093000.0,55954833000.0,365155000.0,56319988000.0,978000000000.0,-631256000.0,-126000000000.0,130000000000.0,6563000000.0,243000000000.0,119000000000.0,2069936000.0,109000000000.0,229000000000.0,9609151000.0,8792286000.0,-103718000.0,3423517000.0,20693959000.0,1362349000.0,99259303000.0,371569000.0,244000000000.0,97074948466.19418,1776789.7026000002,79000.0,5200651000.0,74808869000.0,83601155000.0,895154000.0,6563000000.0,36080041000.0,3490855000.0,1362349000.0,2.21,311858255.6184676,21467488000.0,21467488000.0,11586596000.0,2.21,11558533000.0,2135529000.0,8272312000.0,-1070107000.0,8289830000.0,19058614000.0,9342419000.0,157450000.0,-174447000.0,9908955000.0,9359937000.0,1462897000.0,82497000.0,17518000.0,59774000.0,2226659000.0,110560000.0,17518000.0,2318449000.0,9908955000.0,0.0,0.011812045316116978
4,11753954000.0,3005930.5607000007,308343000.0,95000000.0,1918241000.0,551434000.0,1717608116.193224,835917000.0,181409000.0,246443000.0,62483467000.0,12194000.0,27801330059.20275,4059780000.0,276599000.0,109256000.0,629905000.0,78054142631.04854,572800141.6459999,56961278000.0,1002411000.0,1000000000.0,1488936000.0,896781000.0,1099106000.0,5435257000.0,86932000.0,5522189000.0,62483467000.0,-51977000.0,-995665000.0,39389000.0,3737797950.8210464,2559595000.0,1780090000.0,236196000.0,1507619000.0,8033865000.0,263909000.0,-1574055000.0,-9389000.0,436266000.0,1033792000.0,208390000.0,7994476000.0,98069000.0,2775755000.0,97074948466.19418,400000000.0,8562000.0,-608390000.0,11351630000.0,9777575000.0,216160000.0,1937517.9541999998,3083571000.0,342195000.0,608390000.0,0.96,311858255.6184676,2283746000.0,2283746000.0,1235498000.0,0.96,1196649000.0,250659000.0,895263000.0,-69245000.0,903671000.0,2118246000.0,964508000.0,84424000.0,10472.095800000003,1087097000.0,972916000.0,92486000.0,4446000.0,8408000.0,9334000.0,262582000.0,43295000.0,8408000.0,65666000.0,1087097000.0,0.0,0.04450024462543529
5,49593788876.0,3454610965.0,3480002171.0,60388771447.0,45071362676.0,2173197301.0,24572517.99,2188056336.0,120037136.3,1092388390.0,434000000000.0,8704899298.0,27801330059.20275,27326600550.0,706698100.7,704003261.9,3625460636.0,10277632624.0,572800141.6459999,407000000000.0,2968933194.0,10354355056.0,1578087548.0,5075391098.0,7947454104.0,26589991834.0,266142754.9,26856134589.0,434000000000.0,-1334229166.0,-62391463000.0,66631815000.0,40000000.0,629000000000.0,567000000000.0,1756141000.0,567000000000.0,118000000000.0,151471000.0,2504646000.0,-49519000.0,2101679000.0,10127751000.0,1716187000.0,51500656000.0,117320000.0,630000000000.0,97074948466.19418,1655246.2644000002,2039613316.732157,-1686187000.0,11640749000.0,14145395000.0,548250000.0,40000000.0,20956702000.0,1624911000.0,1726187000.0,1.51,372084000.0,10478294000.0,10478294000.0,5608521000.0,1.51,5561689000.0,820963000.0,3177051000.0,-1319803000.0,3210767000.0,9096271000.0,4496857000.0,372477000.0,-65127000.0,4916605000.0,4530570000.0,840371000.0,17508000.0,33716000.0,-132780000.0,1077951000.0,64340000.0,33713000.0,1180270000.0,4916605000.0,0.0,0.01420130358873166
6,10025772590.0,5718772699.0,352455860.7,1177319227.0,4694659035.0,271545628.7,1717608116.193224,294572273.5,45175060.73,68381695.43,31576225004.0,700000000.0,2000000000.0,4381503374.0,340838779.1,239597145.5,21060977.04,78054142631.04854,7946163.69,18882882991.0,2371233839.0,5323808877.0,819247642.7,819247642.7,2560593040.0,12681077603.0,12264409.67,12693342013.0,31576225004.0,9570122.96,-314140708.4,-2326092131.0,3737797950.8210464,427126991.7,371873426.4,440305040.1,92229179.48,6655655519.0,277802998.8,-1119162059.0,-6852017.74,367778665.0,499870717.9,501444725.0,8981747650.0,388007906.8,686014134.8,4000000000.0,2000000000.0,2039613316.732157,1527922798.0,13435782246.0,12316620187.0,127737450.0,4029367523.0,2704760168.0,920180495.1,2501444725.0,0.21,311858255.6184676,3047682605.0,3047682605.0,1277171510.0,0.21,1268327312.0,57875635.39,1038811625.0,32257382.39,1039166196.0,519790723.4,1006554243.0,768656390.5,4525412.15,1779355293.0,1006908814.0,148567060.7,2703617.61,354570.82,-1630240.93,270262696.4,11547815.83,354570.82,1750258479.0,1779355293.0,0.0,0.011468581533342303
7,55679623473.0,69898019217.0,2165506781.0,22091991844.0,35704482197.0,4297707038.0,432348229.6,3637403628.0,1915891288.0,1323254390.0,271000000000.0,4710000000.0,31281239735.0,55704255109.0,3295862334.0,2203344457.0,890887986.5,26177107881.0,872286123.9,182000000000.0,11016908400.0,34094111853.0,6439142433.0,11401723975.0,25632130708.0,87688484741.0,1713610412.0,89402095153.0,271000000000.0,-258671.00830000002,4770484449.0,-18609569344.0,355005724.3,3061377296.0,8284594426.0,3849395289.0,7654030005.0,34728045850.0,628106256.0,6106948834.0,-351822372.9,1831935182.0,2959668934.0,4018382920.0,53337615194.0,2552294653.0,3514109977.0,23761170975.0,888763054.4,2039613316.732157,20297856101.0,59687284033.0,65794232867.0,332968219.5,25278176699.0,13962474664.0,4860289138.0,4980320598.0,0.48,211013960.3,16115272157.0,16115272157.0,6846091167.0,0.48,6859623163.0,352784351.8,4619078648.0,-646866123.4,4661180752.0,829409801.6,5243916979.0,6035887139.0,-565374027.8,9255648994.0,5308046875.0,772601362.1,66999594.73,42102104.07,-58397218.96,1538044291.0,53467598.43,64129896.37,9638159347.0,9255648994.0,0.0,0.010072932603859117
8,423000000000.0,42295000000.0,23249000000.0,921000000000.0,264000000000.0,1396000000.0,1717608116.193224,7276000000.0,530000000.0,10107000000.0,3680000000000.0,78272000000.0,1216000000.0,81781000000.0,9213000000.0,12103000000.0,26317000000.0,67901000000.0,572800141.6459999,3480000000000.0,19052000000.0,50861000000.0,9824000000.0,32283000000.0,92368000000.0,200000000000.0,1402000000.0,201000000000.0,3680000000000.0,-4619000000.0,-326000000000.0,209000000000.0,919000000.0,1230000000000.0,910000000000.0,11751000000.0,875000000000.0,651000000000.0,32186000000.0,-128000000000.0,-195000000.0,22127000000.0,94187000000.0,10413000000.0,442000000000.0,2950000000.0,1240000000000.0,3000000000.0,4080000000.0,99000000.0,-10713000000.0,255000000000.0,127000000000.0,4144000000.0,3919000000.0,178000000000.0,15526000000.0,14632000000.0,2.16,248000000.0,109000000000.0,109000000000.0,54261000000.0,2.16,54078000000.0,18188000000.0,37432000000.0,-3785000000.0,37726000000.0,85845000000.0,41211000000.0,22000000.0,-1142000000.0,55209000000.0,41511000000.0,7831000000.0,130000000.0,294000000.0,744000000.0,12750000000.0,313000000.0,300000000.0,23762000000.0,55209000000.0,0.0,0.007540170075401701
9,476000000000.0,28627000000.0,14709000000.0,296000000000.0,162000000000.0,1140000000.0,1717608116.193224,8874000000.0,758000000.0,9382000000.0,3680000000000.0,61981000000.0,27801330059.20275,79557000000.0,6273000000.0,10496000000.0,32841000000.0,71970000000.0,572800141.6459999,3470000000000.0,18653000000.0,60639000000.0,37460000000.0,29489000000.0,62998000000.0,204000000000.0,2852000000.0,207000000000.0,3680000000000.0,-4864000000.0,-315000000000.0,308000000000.0,505000000.0,785000000000.0,473000000000.0,10424000000.0,437000000000.0,684000000000.0,36016000000.0,-26058000000.0,-1048000000.0,19924000000.0,81790000000.0,13643000000.0,376000000000.0,21468000000.0,788000000000.0,2962000000.0,8200000000.0,2039613316.732157,-18376000000.0,292000000000.0,266000000000.0,2893000000.0,3467000000.0,145000000000.0,16743000000.0,21843000000.0,2.194,106000000.0,100000000000.0,100000000000.0,53849000000.0,2.194,53523000000.0,13074000000.0,37087000000.0,-3835000000.0,37365000000.0,85177000000.0,40922000000.0,820000000.0,-1565000000.0,46492000000.0,41200000000.0,6813000000.0,118000000.0,278000000.0,767000000.0,12649000000.0,444000000.0,278000000.0,13904000000.0,46492000000.0,0.0,0.010776699029126214
