iter	Passed	Remaining
0	29	73062
1	52	65777
2	77	64396
3	98	61455
4	118	59338
5	140	58314
6	160	57313
7	179	56012
8	201	55712
9	224	55926
10	242	54913
11	260	53978
12	281	53798
13	301	53612
14	325	53863
15	350	54400
16	375	54797
17	396	54734
18	414	54172
19	432	53639
20	450	53142
21	469	52864
22	486	52400
23	503	51933
24	520	51561
25	538	51268
26	555	50909
27	575	50837
28	614	52401
29	681	56137
30	712	56722
31	734	56676
32	753	56299
33	770	55879
34	788	55509
35	805	55154
36	822	54782
37	839	54398
38	856	54074
39	874	53799
40	902	54126
41	923	54049
42	943	53933
43	966	53925
44	986	53820
45	1006	53718
46	1029	53745
47	1051	53718
48	1068	53467
49	1093	53582
50	1141	54837
51	1168	55010
52	1188	54888
53	1209	54766
54	1227	54554
55	1244	54313
56	1261	54063
57	1281	53955
58	1300	53784
59	1317	53585
60	1338	53519
61	1359	53456
62	1379	53351
63	1400	53302
64	1420	53227
65	1441	53152
66	1460	53041
67	1477	52837
68	1497	52769
69	1515	52606
70	1532	52436
71	1552	52339
72	1572	52292
73	1599	52445
74	1619	52367
75	1640	52329
76	1661	52298
77	1681	52219
78	1702	52171
79	1723	52130
80	1742	52025
81	1759	51875
82	1776	51744
83	1793	51578
84	1810	51435
85	1827	51289
86	1843	51137
87	1860	50995
88	1877	50873
89	1894	50741
90	1911	50589
91	1927	50457
92	1944	50325
93	1964	50294
94	1986	50278
95	2004	50183
96	2024	50143
97	2049	50225
98	2081	50479
99	2119	50879
100	2152	51138
101	2192	51548
102	2234	52005
103	2274	52397
104	2311	52730
105	2335	52743
106	2356	52702
107	2384	52811
108	2406	52789
109	2428	52755
110	2449	52714
111	2474	52765
112	2496	52725
113	2513	52604
114	2530	52475
115	2547	52349
116	2563	52221
117	2582	52131
118	2606	52159
119	2627	52120
120	2645	52020
121	2662	51899
122	2681	51815
123	2702	51784
124	2723	51750
125	2743	51692
126	2764	51658
127	2788	51671
128	2808	51627
129	2829	51580
130	2850	51550
131	2871	51510
132	2888	51408
133	2905	51303
134	2922	51203
135	2939	51100
136	2957	51006
137	3042	52083
138	3113	52892
139	3177	53571
140	3218	53855
141	3237	53767
142	3257	53692
143	3279	53657
144	3300	53600
145	3320	53543
146	3342	53506
147	3363	53454
148	3384	53398
149	3406	53361
150	3425	53295
151	3447	53255
152	3476	53332
153	3497	53279
154	3518	53238
155	3540	53195
156	3561	53154
157	3584	53131
158	3608	53127
159	3630	53102
160	3652	53061
161	3673	53018
162	3694	52963
163	3715	52929
164	3736	52880
165	3755	52807
166	3777	52769
167	3798	52724
168	3819	52683
169	3841	52647
170	3864	52638
171	3884	52570
172	3901	52479
173	3919	52394
174	3937	52317
175	3955	52228
176	3972	52135
177	3989	52044
178	4008	51972
179	4026	51894
180	4079	52273
181	4138	52703
182	4189	53050
183	4222	53145
184	4248	53160
185	4273	53168
186	4291	53079
187	4309	52998
188	4331	52967
189	4356	52968
190	4377	52924
191	4800	57704
192	4866	58171
193	4888	58102
194	4908	58019
195	4931	57964
196	4950	57877
197	4974	57829
198	5008	57912
199	6141	70632
200	6197	70886
201	6240	70988
202	6290	71180
203	6344	71401
204	6392	71561
205	6423	71526
206	6456	71522
207	6488	71503
208	6520	71476
209	6555	71487
210	6589	71482
211	6618	71426
212	6643	71329
213	6664	71195
214	6684	71043
215	6701	70861
216	6719	70698
217	6737	70530
218	6756	70370
219	6773	70202
220	6792	70043
221	6810	69888
222	6829	69733
223	6862	69726
224	6885	69619
225	6904	69472
226	6924	69331
227	6942	69178
228	6959	69017
229	6976	68859
230	6994	68705
231	7012	68556
232	7031	68415
233	7053	68307
234	7071	68157
235	7090	68025
236	7110	67899
237	7133	67799
238	7154	67685
239	7174	67561
240	7193	67430
241	7215	67321
242	7234	67194
243	7256	67094
244	7277	66981
245	7297	66864
246	7320	66777
247	7340	66653
248	7359	66529
249	7378	66405
250	7396	66272
251	7414	66145
252	7435	66035
253	7455	65924
254	7477	65828
255	7498	65725
256	7516	65598
257	7532	65461
258	7552	65349
259	7570	65224
260	7590	65115
261	7608	64990
262	7625	64862
263	7643	64738
