iter	Passed	Remaining
0	324	811209
1	501	626322
2	691	575509
3	975	608698
4	1194	596134
5	1369	569076
6	1545	550458
7	1759	548139
8	2026	560805
9	2197	547169
10	2393	541571
11	2611	541524
12	3037	581044
13	3414	606347
14	3718	615989
15	4041	627475
16	4245	620120
17	4426	610396
18	4604	601243
19	4772	591731
20	5045	595585
21	5345	602067
22	5537	596349
23	5711	589259
24	6006	594606
25	6293	598858
26	6470	592682
27	6650	587149
28	6869	585319
29	7271	598707
30	7452	593577
31	7751	597822
32	7935	593213
33	8204	595060
34	8426	593451
35	8677	593933
36	8854	589438
37	9031	585148
38	9263	584562
39	9478	582939
40	9698	581661
41	9913	580163
42	10101	577177
43	10282	573966
44	10460	570679
45	10649	568138
46	10841	565826
47	11027	563345
48	11229	561698
49	11419	559577
50	11602	557137
51	11784	554754
52	11959	552177
53	12134	549646
54	12310	547246
55	12489	545093
56	12657	542515
57	12828	540112
58	13014	538457
59	13181	536060
60	13356	534045
61	13541	532470
62	13743	531620
63	13959	531337
64	14139	529687
65	14319	528097
66	14500	526546
67	14672	524760
68	14850	523223
69	15029	521725
70	15199	519999
71	15391	519038
72	15573	517776
73	15750	516346
74	15951	515770
75	16122	514228
76	16299	512892
77	16477	511632
78	16653	510369
79	16827	509018
80	17003	507804
81	17170	506324
82	17347	505174
83	17548	504726
84	17732	503816
85	17924	503128
86	18140	503131
87	18353	503039
88	18546	502420
89	18748	502032
90	18935	501282
91	19133	500788
92	19304	499639
93	19477	498528
94	19658	497670
95	19825	496456
96	19998	495415
97	20197	495035
98	20390	494519
99	20589	494142
100	20796	493963
101	20998	493659
102	21262	494823
103	21461	494432
104	21669	494274
105	21855	493604
106	22052	493187
107	22230	492364
108	22416	491722
109	22870	496904
110	23146	498181
111	23387	498651
112	23578	498065
113	23768	497472
114	23974	497216
115	24151	496359
116	24339	495733
117	24533	495234
118	24733	494882
119	24915	494159
120	25118	493865
121	25363	494387
122	25618	495084
123	25870	495706
124	26056	495064
125	26249	494580
126	26442	494075
127	26631	493521
128	26833	493188
129	27266	497094
130	27600	499124
131	27776	498291
132	27958	497573
133	28138	496830
134	28315	496039
135	28510	495573
136	29674	511834
137	29906	511876
138	30096	511210
139	30279	510426
140	30478	509914
141	30665	509216
142	30858	508631
143	31254	511352
144	32083	521086
145	32294	520701
146	32490	520065
147	32671	519216
148	32847	518285
149	33035	517549
150	33203	516530
151	33380	515634
152	33559	514793
153	33732	513877
154	33929	513320
155	34096	512327
156	34270	511442
157	34443	510548
158	34621	509736
159	34791	508823
160	34961	507920
161	35130	507011
162	35309	506245
163	35480	505378
164	35655	504576
165	35852	504087
166	36020	503206
